Test 1 : Matched 125, Mismatched 12
Test 2 : Matched 131, Mismatched 6
Test 3 : Matched 132, Mismatched 5
Test 4 : Matched 130, Mismatched 7
Test 5 : Matched 132, Mismatched 5
Test 6 : Matched 128, Mismatched 9
Test 7 : Matched 125, Mismatched 12
Test 8 : Matched 132, Mismatched 5
Test 9 : Matched 131, Mismatched 6
Test 10 : Matched 128, Mismatched 9
Test 11 : Matched 132, Mismatched 5
Test 12 : Matched 126, Mismatched 11
Test 13 : Matched 128, Mismatched 9
Test 14 : Matched 127, Mismatched 10
Test 15 : Matched 126, Mismatched 11
Test 16 : Matched 131, Mismatched 6
Test 17 : Matched 131, Mismatched 6
Test 18 : Matched 127, Mismatched 10
Test 19 : Matched 130, Mismatched 7
Test 20 : Matched 133, Mismatched 4
Test 21 : Matched 125, Mismatched 12
Test 22 : Matched 128, Mismatched 9
Test 23 : Matched 126, Mismatched 11
Test 24 : Matched 134, Mismatched 3
Test 25 : Matched 123, Mismatched 14
Test 26 : Matched 131, Mismatched 6
Test 27 : Matched 128, Mismatched 9
Test 28 : Matched 126, Mismatched 11
Test 29 : Matched 130, Mismatched 7
Test 30 : Matched 132, Mismatched 5
Test 31 : Matched 130, Mismatched 7
Test 32 : Matched 127, Mismatched 10
Test 33 : Matched 131, Mismatched 6
Test 34 : Matched 131, Mismatched 6
Test 35 : Matched 129, Mismatched 8
Test 36 : Matched 125, Mismatched 12
Test 37 : Matched 129, Mismatched 8
Test 38 : Matched 127, Mismatched 10
Test 39 : Matched 129, Mismatched 8
Test 40 : Matched 132, Mismatched 5
Test 41 : Matched 131, Mismatched 6
Test 42 : Matched 129, Mismatched 8
Test 43 : Matched 129, Mismatched 8
Test 44 : Matched 128, Mismatched 9
Test 45 : Matched 134, Mismatched 3
Test 46 : Matched 131, Mismatched 6
Test 47 : Matched 129, Mismatched 8
Test 48 : Matched 131, Mismatched 6
Test 49 : Matched 129, Mismatched 8
Test 50 : Matched 134, Mismatched 3
Test 51 : Matched 131, Mismatched 6
Test 52 : Matched 125, Mismatched 12
Test 53 : Matched 126, Mismatched 11
Test 54 : Matched 129, Mismatched 8
Test 55 : Matched 129, Mismatched 8
Test 56 : Matched 125, Mismatched 12
Test 57 : Matched 130, Mismatched 7
Test 58 : Matched 135, Mismatched 2
Test 59 : Matched 130, Mismatched 7
Test 60 : Matched 132, Mismatched 5
Test 61 : Matched 130, Mismatched 7
Test 62 : Matched 130, Mismatched 7
Test 63 : Matched 124, Mismatched 13
Test 64 : Matched 134, Mismatched 3
Test 65 : Matched 128, Mismatched 9
Test 66 : Matched 129, Mismatched 8
Test 67 : Matched 128, Mismatched 9
Test 68 : Matched 127, Mismatched 10
Test 69 : Matched 132, Mismatched 5
Test 70 : Matched 132, Mismatched 5
Test 71 : Matched 129, Mismatched 8
Test 72 : Matched 127, Mismatched 10
Test 73 : Matched 129, Mismatched 8
Test 74 : Matched 129, Mismatched 8
Test 75 : Matched 132, Mismatched 5
Test 76 : Matched 131, Mismatched 6
Test 77 : Matched 131, Mismatched 6
Test 78 : Matched 129, Mismatched 8
Test 79 : Matched 131, Mismatched 6
Test 80 : Matched 130, Mismatched 7
Test 81 : Matched 126, Mismatched 11
Test 82 : Matched 128, Mismatched 9
Test 83 : Matched 133, Mismatched 4
Test 84 : Matched 129, Mismatched 8
Test 85 : Matched 131, Mismatched 6
Test 86 : Matched 133, Mismatched 4
Test 87 : Matched 128, Mismatched 9
Test 88 : Matched 125, Mismatched 12
Test 89 : Matched 132, Mismatched 5
Test 90 : Matched 129, Mismatched 8
Test 91 : Matched 126, Mismatched 11
Test 92 : Matched 132, Mismatched 5
Test 93 : Matched 129, Mismatched 8
Test 94 : Matched 125, Mismatched 12
Test 95 : Matched 127, Mismatched 10
Test 96 : Matched 127, Mismatched 10
Test 97 : Matched 123, Mismatched 14
Test 98 : Matched 130, Mismatched 7
Test 99 : Matched 129, Mismatched 8
Test 100 : Matched 128, Mismatched 9
========
Accuracy=0.943
Precision=0.923
Recall=0.914
F-measure=0.918
G-mean=0.935
